policy,dynamics,agents,obstacles,control_noise,episodes,success_rate_pct,mean_reward,failures_total,fail_obstacle,fail_wall,fail_timeout,training_run,source_file
naive,dynamic,5,0,low,1000,41.40,6719.82,586,576,2,8,navigation_naive_20260603_014721,/local1/hishamb/cbf-rl-environment/results/results_naive/results_naive_navigation_naive_20260603_014721_model_1499_20260604_031246/results_naive_navigation_naive_20260603_014721_model_1499_20260604_031246.txt
naive,dynamic,4,1,low,1000,28.70,5201.60,713,711,1,1,navigation_naive_20260603_011730,/local1/hishamb/cbf-rl-environment/results/results_naive/results_naive_navigation_naive_20260603_011730_model_1499_20260604_030000/results_naive_navigation_naive_20260603_011730_model_1499_20260604_030000.txt
naive,dynamic,3,2,low,1000,36.50,4284.32,635,634,1,0,navigation_naive_20260603_010438,/local1/hishamb/cbf-rl-environment/results/results_naive/results_naive_navigation_naive_20260603_010438_model_1499_20260604_024928/results_naive_navigation_naive_20260603_010438_model_1499_20260604_024928.txt
naive,dynamic,2,3,low,1000,42.20,3088.31,578,571,5,2,navigation_naive_20260603_005108,/local1/hishamb/cbf-rl-environment/results/results_naive/results_naive_navigation_naive_20260603_005108_model_1499_20260604_024050/results_naive_navigation_naive_20260603_005108_model_1499_20260604_024050.txt
naive,dynamic,1,4,low,1000,57.00,1846.08,430,370,11,49,navigation_naive_20260603_004427,/local1/hishamb/cbf-rl-environment/results/results_naive/results_naive_navigation_naive_20260603_004427_model_1499_20260604_022508/results_naive_navigation_naive_20260603_004427_model_1499_20260604_022508.txt
cbf,dynamic,5,0,low,1000,6.00,-114256.21,940,558,0,382,navigation_cbf_20260603_032155,/local1/hishamb/cbf-rl-environment/results/results_cbf/results_cbf_navigation_cbf_20260603_032155_model_1499_20260603_230702/results_cbf_navigation_cbf_20260603_032155_model_1499_20260603_230702.txt
cbf,dynamic,4,1,low,1000,17.70,-88182.31,823,492,0,331,navigation_cbf_20260603_030218,/local1/hishamb/cbf-rl-environment/results/results_cbf/results_cbf_navigation_cbf_20260603_030218_model_1499_20260603_215225/results_cbf_navigation_cbf_20260603_030218_model_1499_20260603_215225.txt
cbf,dynamic,3,2,low,1000,67.50,-30370.73,325,194,3,128,navigation_cbf_20260603_025532,/local1/hishamb/cbf-rl-environment/results/results_cbf/results_cbf_navigation_cbf_20260603_025532_model_1499_20260603_211557/results_cbf_navigation_cbf_20260603_025532_model_1499_20260603_211557.txt
cbf,dynamic,2,3,low,1000,88.10,-5191.30,119,79,1,39,navigation_cbf_20260603_024708,/local1/hishamb/cbf-rl-environment/results/results_cbf/results_cbf_navigation_cbf_20260603_024708_model_1499_20260603_205648/results_cbf_navigation_cbf_20260603_024708_model_1499_20260603_205648.txt
cbf,dynamic,1,4,low,1000,96.40,2039.82,36,29,3,4,navigation_cbf_20260603_022256,/local1/hishamb/cbf-rl-environment/results/results_cbf/results_cbf_navigation_cbf_20260603_022256_model_1499_20260603_203432/results_cbf_navigation_cbf_20260603_022256_model_1499_20260603_203432.txt
reward_only,dynamic,5,0,low,1000,25.70,-55862.52,743,547,66,130,navigation_reward_only_20260603_055007,/local1/hishamb/cbf-rl-environment/results/results_reward_only/results_reward_only_navigation_reward_only_20260603_055007_model_1499_20260604_050917/results_reward_only_navigation_reward_only_20260603_055007_model_1499_20260604_050917.txt
reward_only,dynamic,4,1,low,1000,24.00,-13543.76,760,675,65,20,navigation_reward_only_20260603_053734,/local1/hishamb/cbf-rl-environment/results/results_reward_only/results_reward_only_navigation_reward_only_20260603_053734_model_1499_20260604_043908/results_reward_only_navigation_reward_only_20260603_053734_model_1499_20260604_043908.txt
reward_only,dynamic,3,2,low,1000,42.10,-13056.35,579,497,50,32,navigation_reward_only_20260603_052335,/local1/hishamb/cbf-rl-environment/results/results_reward_only/results_reward_only_navigation_reward_only_20260603_052335_model_1499_20260604_041127/results_reward_only_navigation_reward_only_20260603_052335_model_1499_20260604_041127.txt
reward_only,dynamic,2,3,low,1000,72.10,-4885.86,279,218,25,36,navigation_reward_only_20260603_051512,/local1/hishamb/cbf-rl-environment/results/results_reward_only/results_reward_only_navigation_reward_only_20260603_051512_model_1499_20260604_035143/results_reward_only_navigation_reward_only_20260603_051512_model_1499_20260604_035143.txt
reward_only,dynamic,1,4,low,1000,91.40,2052.84,86,28,6,52,navigation_reward_only_20260603_045803,/local1/hishamb/cbf-rl-environment/results/results_reward_only/results_reward_only_navigation_reward_only_20260603_045803_model_1499_20260604_034033/results_reward_only_navigation_reward_only_20260603_045803_model_1499_20260604_034033.txt
filter_only,dynamic,5,0,low,1000,60.60,8336.95,394,356,2,36,navigation_filter_only_20260603_044440,/local1/hishamb/cbf-rl-environment/results/results_filter_only/results_filter_only_navigation_filter_only_20260603_044440_model_1499_20260604_015658/results_filter_only_navigation_filter_only_20260603_044440_model_1499_20260604_015658.txt
filter_only,dynamic,4,1,low,1000,57.80,7157.06,422,396,7,19,navigation_filter_only_20260603_041332,/local1/hishamb/cbf-rl-environment/results/results_filter_only/results_filter_only_navigation_filter_only_20260603_041332_model_1499_20260604_013449/results_filter_only_navigation_filter_only_20260603_041332_model_1499_20260604_013449.txt
filter_only,dynamic,3,2,low,1000,65.90,5763.74,341,329,4,8,navigation_filter_only_20260603_040830,/local1/hishamb/cbf-rl-environment/results/results_filter_only/results_filter_only_navigation_filter_only_20260603_040830_model_1499_20260604_011628/results_filter_only_navigation_filter_only_20260603_040830_model_1499_20260604_011628.txt
filter_only,dynamic,2,3,low,1000,75.90,4018.05,241,231,6,4,navigation_filter_only_20260603_034724,/local1/hishamb/cbf-rl-environment/results/results_filter_only/results_filter_only_navigation_filter_only_20260603_034724_model_1499_20260604_010320/results_filter_only_navigation_filter_only_20260603_034724_model_1499_20260604_010320.txt
filter_only,dynamic,1,4,low,1000,87.20,2141.85,128,118,8,2,navigation_filter_only_20260603_033446,/local1/hishamb/cbf-rl-environment/results/results_filter_only/results_filter_only_navigation_filter_only_20260603_033446_model_1499_20260604_004902/results_filter_only_navigation_filter_only_20260603_033446_model_1499_20260604_004902.txt
