policy,dynamics,agents,obstacles,control_noise,episodes,success_rate_pct,mean_reward,failures_total,fail_obstacle,fail_wall,fail_timeout,training_run,source_file
naive,dynamic,5,0,low,1000,41.40,6719.82,586,576,2,8,navigation_naive_20260603_014721,/local1/hishamb/cbf-rl-environment/results/results_naive/results_naive_navigation_naive_20260603_014721_model_1499_20260604_031246/results_naive_navigation_naive_20260603_014721_model_1499_20260604_031246.txt
naive,dynamic,5,0,medium,1000,42.50,6737.33,575,573,1,1,navigation_naive_20260603_021112,/local1/hishamb/cbf-rl-environment/results/results_naive/results_naive_navigation_naive_20260603_021112_model_1499_20260604_031347/results_naive_navigation_naive_20260603_021112_model_1499_20260604_031347.txt
naive,dynamic,5,0,high,1000,35.90,6938.18,641,579,0,62,navigation_naive_20260603_021247,/local1/hishamb/cbf-rl-environment/results/results_naive/results_naive_navigation_naive_20260603_021247_model_1499_20260604_032254/results_naive_navigation_naive_20260603_021247_model_1499_20260604_032254.txt
naive,dynamic,4,1,low,1000,28.70,5201.60,713,711,1,1,navigation_naive_20260603_011730,/local1/hishamb/cbf-rl-environment/results/results_naive/results_naive_navigation_naive_20260603_011730_model_1499_20260604_030000/results_naive_navigation_naive_20260603_011730_model_1499_20260604_030000.txt
naive,dynamic,4,1,medium,1000,29.50,5250.25,705,701,1,3,navigation_naive_20260603_013617,/local1/hishamb/cbf-rl-environment/results/results_naive/results_naive_navigation_naive_20260603_013617_model_1499_20260604_030053/results_naive_navigation_naive_20260603_013617_model_1499_20260604_030053.txt
naive,dynamic,4,1,high,1000,27.30,5230.61,727,712,0,15,navigation_naive_20260603_013712,/local1/hishamb/cbf-rl-environment/results/results_naive/results_naive_navigation_naive_20260603_013712_model_1499_20260604_030741/results_naive_navigation_naive_20260603_013712_model_1499_20260604_030741.txt
naive,dynamic,3,2,low,1000,36.50,4284.32,635,634,1,0,navigation_naive_20260603_010438,/local1/hishamb/cbf-rl-environment/results/results_naive/results_naive_navigation_naive_20260603_010438_model_1499_20260604_024928/results_naive_navigation_naive_20260603_010438_model_1499_20260604_024928.txt
naive,dynamic,3,2,medium,1000,35.90,4285.66,641,636,0,5,navigation_naive_20260603_011417,/local1/hishamb/cbf-rl-environment/results/results_naive/results_naive_navigation_naive_20260603_011417_model_1499_20260604_024958/results_naive_navigation_naive_20260603_011417_model_1499_20260604_024958.txt
naive,dynamic,3,2,high,1000,34.90,4298.48,651,641,0,10,navigation_naive_20260603_011630,/local1/hishamb/cbf-rl-environment/results/results_naive/results_naive_navigation_naive_20260603_011630_model_1499_20260604_025559/results_naive_navigation_naive_20260603_011630_model_1499_20260604_025559.txt
naive,dynamic,2,3,low,1000,42.20,3088.31,578,571,5,2,navigation_naive_20260603_005108,/local1/hishamb/cbf-rl-environment/results/results_naive/results_naive_navigation_naive_20260603_005108_model_1499_20260604_024050/results_naive_navigation_naive_20260603_005108_model_1499_20260604_024050.txt
naive,dynamic,2,3,medium,1000,40.10,3025.52,599,597,2,0,navigation_naive_20260603_005410,/local1/hishamb/cbf-rl-environment/results/results_naive/results_naive_navigation_naive_20260603_005410_model_1499_20260604_024159/results_naive_navigation_naive_20260603_005410_model_1499_20260604_024159.txt
naive,dynamic,2,3,high,1000,39.90,3098.73,601,562,7,32,navigation_naive_20260603_010306,/local1/hishamb/cbf-rl-environment/results/results_naive/results_naive_navigation_naive_20260603_010306_model_1499_20260604_024458/results_naive_navigation_naive_20260603_010306_model_1499_20260604_024458.txt
naive,dynamic,1,4,low,1000,57.00,1846.08,430,370,11,49,navigation_naive_20260603_004427,/local1/hishamb/cbf-rl-environment/results/results_naive/results_naive_navigation_naive_20260603_004427_model_1499_20260604_022508/results_naive_navigation_naive_20260603_004427_model_1499_20260604_022508.txt
naive,dynamic,1,4,medium,1000,53.40,1842.28,466,375,7,84,navigation_naive_20260603_004459,/local1/hishamb/cbf-rl-environment/results/results_naive/results_naive_navigation_naive_20260603_004459_model_1499_20260604_023139/results_naive_navigation_naive_20260603_004459_model_1499_20260604_023139.txt
