policy,dynamics,agents,obstacles,control_noise,episodes,success_rate_pct,mean_reward,failures_total,fail_obstacle,fail_wall,fail_timeout,training_run,source_file
naive,dynamic,1,4,low,1000,57.00,1846.08,430,370,11,49,navigation_naive_20260603_004427,/local1/hishamb/cbf-rl-environment/results/results_naive/results_naive_navigation_naive_20260603_004427_model_1499_20260604_022508/results_naive_navigation_naive_20260603_004427_model_1499_20260604_022508.txt
naive,dynamic,1,4,medium,1000,53.40,1842.28,466,375,7,84,navigation_naive_20260603_004459,/local1/hishamb/cbf-rl-environment/results/results_naive/results_naive_navigation_naive_20260603_004459_model_1499_20260604_023139/results_naive_navigation_naive_20260603_004459_model_1499_20260604_023139.txt
naive,dynamic,1,4,high,1000,58.40,1835.37,416,394,2,20,navigation_naive_20260603_004631,/local1/hishamb/cbf-rl-environment/results/results_naive/results_naive_navigation_naive_20260603_004631_model_1499_20260604_023344/results_naive_navigation_naive_20260603_004631_model_1499_20260604_023344.txt
cbf,dynamic,1,4,low,1000,96.40,2039.82,36,29,3,4,navigation_cbf_20260603_022256,/local1/hishamb/cbf-rl-environment/results/results_cbf/results_cbf_navigation_cbf_20260603_022256_model_1499_20260603_203432/results_cbf_navigation_cbf_20260603_022256_model_1499_20260603_203432.txt
cbf,dynamic,1,4,medium,1000,96.70,2071.69,33,14,5,14,navigation_cbf_20260603_023040,/local1/hishamb/cbf-rl-environment/results/results_cbf/results_cbf_navigation_cbf_20260603_023040_model_1499_20260603_204400/results_cbf_navigation_cbf_20260603_023040_model_1499_20260603_204400.txt
cbf,dynamic,1,4,high,1000,95.50,2034.97,45,22,5,18,navigation_cbf_20260603_023830,/local1/hishamb/cbf-rl-environment/results/results_cbf/results_cbf_navigation_cbf_20260603_023830_model_1499_20260603_205515/results_cbf_navigation_cbf_20260603_023830_model_1499_20260603_205515.txt
reward_only,dynamic,1,4,low,1000,91.40,2052.84,86,28,6,52,navigation_reward_only_20260603_045803,/local1/hishamb/cbf-rl-environment/results/results_reward_only/results_reward_only_navigation_reward_only_20260603_045803_model_1499_20260604_034033/results_reward_only_navigation_reward_only_20260603_045803_model_1499_20260604_034033.txt
reward_only,dynamic,1,4,medium,1000,94.90,2027.33,51,27,17,7,navigation_reward_only_20260603_050135,/local1/hishamb/cbf-rl-environment/results/results_reward_only/results_reward_only_navigation_reward_only_20260603_050135_model_1499_20260604_034303/results_reward_only_navigation_reward_only_20260603_050135_model_1499_20260604_034303.txt
reward_only,dynamic,1,4,high,1000,91.80,1987.43,82,59,14,9,navigation_reward_only_20260603_051154,/local1/hishamb/cbf-rl-environment/results/results_reward_only/results_reward_only_navigation_reward_only_20260603_051154_model_1499_20260604_034936/results_reward_only_navigation_reward_only_20260603_051154_model_1499_20260604_034936.txt
filter_only,dynamic,1,4,low,1000,87.20,2141.85,128,118,8,2,navigation_filter_only_20260603_033446,/local1/hishamb/cbf-rl-environment/results/results_filter_only/results_filter_only_navigation_filter_only_20260603_033446_model_1499_20260604_004902/results_filter_only_navigation_filter_only_20260603_033446_model_1499_20260604_004902.txt
filter_only,dynamic,1,4,medium,1000,88.70,2166.64,113,108,3,2,navigation_filter_only_20260603_033914,/local1/hishamb/cbf-rl-environment/results/results_filter_only/results_filter_only_navigation_filter_only_20260603_033914_model_1499_20260604_005551/results_filter_only_navigation_filter_only_20260603_033914_model_1499_20260604_005551.txt
filter_only,dynamic,1,4,high,1000,83.60,2116.43,164,142,19,3,navigation_filter_only_20260603_034447,/local1/hishamb/cbf-rl-environment/results/results_filter_only/results_filter_only_navigation_filter_only_20260603_034447_model_1499_20260604_005725/results_filter_only_navigation_filter_only_20260603_034447_model_1499_20260604_005725.txt
